X,Y,OBJECTID,Id,CaseNumber,OccurredDate,OccurredMonth,OccurredYear,DateOfDeath,DateOfDeathMonth,DateOfDeathYear,DateDifference,CaseStatus,Address,Latitude,Longitude,Section,Beat,WeaponCategory,VictimCount,ArresteeCount
-77.58045676424247,43.13897357355907,150,86,02-053636,2002-02-18T05:00:00.000Z,2,2002,2002-02-18T05:00:00.000Z,2,2002,0,OPEN,"1099 MONROE AVE, ROCHESTER, NY, 14620",43.138965,-77.580454,Goodman,255,Blunt Object,1,
-77.606477774674204,43.175274579090065,149,87,02-060397,2002-02-23T05:00:00.000Z,2,2002,2002-02-23T05:00:00.000Z,2,2002,0,CLOSED,"632 CLIFFORD AVE, ROCHESTER, NY, 14621",43.175266,-77.606475,Clinton,257,Firearm,1,2
-77.621907780350384,43.174521578841713,148,88,02-060568,2002-02-24T05:00:00.000Z,2,2002,2002-02-24T05:00:00.000Z,2,2002,0,CLOSED,"81 CLIFFORD AVE, ROCHESTER, NY, 14621",43.174513,-77.621905,Clinton,277,Firearm,1,1
-77.598063771893123,43.17436657945975,147,89,02-066955,2002-03-01T05:00:00.000Z,3,2002,2002-03-01T05:00:00.000Z,3,2002,0,OPEN,"33 WATKIN TER, ROCHESTER, NY, 14605",43.174358,-77.598061,Clinton,277,Firearm,1,
-77.588640769310842,43.171274579244503,146,90,02-097402,2002-03-28T04:00:00.000Z,3,2002,2002-03-28T04:00:00.000Z,3,2002,0,CLOSED,"20 ROHR ST, ROCHESTER, NY, 14605",43.171266,-77.588638,Clinton,267,Firearm,1,
-77.638086783804766,43.160726575652177,145,91,02-117954,2002-04-13T04:00:00.000Z,4,2002,2002-04-13T04:00:00.000Z,4,2002,0,CLOSED,"866 SMITH ST, ROCHESTER, NY, 14606",43.160718,-77.638084,Lake,291,Physical,1,1
-77.625143780087882,43.153904574520389,144,92,02-120386,2002-04-15T04:00:00.000Z,4,2002,2002-04-15T04:00:00.000Z,4,2002,0,OPEN,"33 CANAL ST, ROCHESTER, NY, 14608",43.153896,-77.625141,Genesee,213,Blunt Object,1,
-77.621171780295342,43.184534580670665,142,94,02-156769,2002-05-15T04:00:00.000Z,5,2002,2002-05-15T04:00:00.000Z,5,2002,0,CLOSED,"30 CUTLER ST, ROCHESTER, NY, 14621",43.184526,-77.621169,Clinton,217,Firearm,1,1
-77.621171780295342,43.184534580670665,143,93,02-157061,2002-05-15T04:00:00.000Z,5,2002,2002-05-15T04:00:00.000Z,5,2002,0,CLOSED,"30 CUTLER ST, ROCHESTER, NY, 14621",43.184526,-77.621169,Clinton,217,Firearm,1,1
-77.624735778621229,43.148683573751413,141,95,02-190238,2002-06-10T04:00:00.000Z,6,2002,2002-06-10T04:00:00.000Z,6,2002,0,OPEN,"245 ADAMS ST, ROCHESTER, NY, 14608",43.148675,-77.624733,Genesee,213,Knife/Cutting Instrument,1,
-77.624735778621229,43.148683573751413,44,97,02-190512,2002-06-10T04:00:00.000Z,6,2002,2002-06-10T04:00:00.000Z,6,2002,0,OPEN,"245 ADAMS ST, ROCHESTER, NY, 14608",43.148675,-77.624733,Genesee,213,Knife/Cutting Instrument,1,
-77.624735778621229,43.148683573751413,91,96,02-190513,2002-06-10T04:00:00.000Z,6,2002,2002-06-10T04:00:00.000Z,6,2002,0,OPEN,"245 ADAMS ST, ROCHESTER, NY, 14608",43.148675,-77.624733,Genesee,213,Knife/Cutting Instrument,1,
-77.642072786261011,43.164819576379692,43,98,02-201490,2002-06-18T04:00:00.000Z,6,2002,2002-06-18T04:00:00.000Z,6,2002,0,CLOSED,"500 LYELL AVE, ROCHESTER, NY, 14606",43.164811,-77.64207,Lake,291,Physical,1,1
-77.620366779973352,43.180355580150966,41,100,02-209802,2002-06-25T04:00:00.000Z,6,2002,2002-06-25T04:00:00.000Z,6,2002,0,CLOSED,"156 AVENUE D, ROCHESTER, NY, 14621",43.180347,-77.620364,Clinton,247,Firearm,1,1
